County_Code,City_Name,County_Name,State_ABV,housing_cost,food_cost,transportation_cost,healthcare_cost,other_necessities_cost,taxes,total_cost
1,"Montgomery, AL MSA",Autauga County,AL," $12,798 "," $8,945 "," $13,321 "," $14,450 "," $7,879 "," $10,565 "," $67,958 "
2,"Daphne-Fairhope-Foley, AL MSA",Baldwin County,AL," $12,150 "," $9,617 "," $13,442 "," $14,091 "," $7,887 "," $10,412 "," $67,599 "
3,"Barbour County, AL",Barbour County,AL," $8,155 "," $8,381 "," $12,626 "," $14,149 "," $5,992 "," $7,091 "," $56,392 "
4,"Birmingham-Hoover, AL HUD Metro FMR Area",Bibb County,AL," $10,646 "," $7,897 "," $14,009 "," $14,720 "," $6,719 "," $8,981 "," $62,973 "
5,"Birmingham-Hoover, AL HUD Metro FMR Area",Blount County,AL," $9,674 "," $8,435 "," $14,005 "," $14,720 "," $6,562 "," $8,654 "," $62,050 "
6,"Bullock County, AL",Bullock County,AL," $8,891 "," $8,918 "," $13,330 "," $14,149 "," $6,453 "," $7,914 "," $59,654 "
7,"Butler County, AL",Butler County,AL," $8,072 "," $7,978 "," $12,921 "," $14,149 "," $5,816 "," $6,976 "," $55,912 "
8,"Anniston-Oxford-Jacksonville, AL MSA",Calhoun County,AL," $9,239 "," $8,005 "," $12,606 "," $13,852 "," $6,248 "," $7,645 "," $57,595 "
9,"Chambers County, AL",Chambers County,AL," $9,545 "," $7,844 "," $12,753 "," $14,149 "," $6,301 "," $7,646 "," $58,237 "
10,"Cherokee County, AL",Cherokee County,AL," $8,405 "," $8,730 "," $13,191 "," $14,149 "," $6,209 "," $7,527 "," $58,210 "
11,"Chilton County, AL HUD Metro FMR Area",Chilton County,AL," $9,782 "," $8,461 "," $13,414 "," $14,720 "," $6,610 "," $8,576 "," $61,564 "
12,"Choctaw County, AL",Choctaw County,AL," $7,982 "," $8,032 "," $14,058 "," $14,149 "," $5,803 "," $7,285 "," $57,309 "
13,"Clarke County, AL",Clarke County,AL," $8,563 "," $7,871 "," $13,065 "," $14,149 "," $5,955 "," $7,244 "," $56,845 "
14,"Clay County, AL",Clay County,AL," $8,452 "," $8,435 "," $13,150 "," $14,149 "," $6,119 "," $7,474 "," $57,777 "
15,"Cleburne County, AL",Cleburne County,AL," $8,477 "," $8,166 "," $13,452 "," $14,149 "," $6,030 "," $7,451 "," $57,725 "
16,"Coffee County, AL",Coffee County,AL," $9,361 "," $9,240 "," $13,561 "," $14,149 "," $6,740 "," $8,454 "," $61,505 "
17,"Florence-Muscle Shoals, AL MSA",Colbert County,AL," $9,752 "," $7,709 "," $12,885 "," $14,091 "," $6,327 "," $7,991 "," $58,756 "
18,"Conecuh County, AL",Conecuh County,AL," $8,610 "," $7,951 "," $13,372 "," $14,149 "," $6,001 "," $7,384 "," $57,465 "
19,"Coosa County, AL",Coosa County,AL," $8,672 "," $8,999 "," $13,386 "," $14,149 "," $6,403 "," $7,852 "," $59,460 "
20,"Covington County, AL",Covington County,AL," $8,278 "," $8,005 "," $13,174 "," $14,149 "," $5,900 "," $7,223 "," $56,728 "
21,"Crenshaw County, AL",Crenshaw County,AL," $7,982 "," $8,838 "," $13,476 "," $14,149 "," $6,095 "," $7,442 "," $57,981 "
22,"Cullman County, AL",Cullman County,AL," $8,744 "," $8,515 "," $13,016 "," $14,149 "," $6,254 "," $7,557 "," $58,235 "
23,"Dale County, AL",Dale County,AL," $8,574 "," $8,542 "," $12,931 "," $14,149 "," $6,202 "," $7,538 "," $57,936 "
24,"Dallas County, AL",Dallas County,AL," $8,148 "," $8,488 "," $12,034 "," $14,149 "," $6,028 "," $6,946 "," $55,793 "
25,"DeKalb County, AL",DeKalb County,AL," $8,225 "," $8,488 "," $13,084 "," $14,149 "," $6,056 "," $7,335 "," $57,336 "
26,"Montgomery, AL MSA",Elmore County,AL," $11,578 "," $9,026 "," $13,543 "," $14,450 "," $7,466 "," $9,937 "," $66,000 "
